Dataset,Split Num,Optimized validation AUC,Optimized test AUC,Ideal test AUC,Optimized num samples,Ideal num samples
abalone-17_vs_7-8-9-10,0,0.9578947368421052,0.8314536340852131,0.9333333333333333,2973,2689
abalone-17_vs_7-8-9-10,1,0.9657894736842105,0.7983709273182957,0.8314536340852131,2544,2639
abalone-17_vs_7-8-9-10,2,0.9771929824561403,0.7530075187969925,0.8601503759398497,2847,2577
abalone-17_vs_7-8-9-10,3,0.9640350877192982,0.8645363408521304,0.9298245614035088,2873,2503
abalone-17_vs_7-8-9-10,4,0.9456140350877194,0.8958646616541355,0.9263157894736842,2815,2421
abalone-17_vs_7-8-9-10,5,0.9552631578947368,0.9011278195488722,0.9098997493734335,2892,2716
abalone-17_vs_7-8-9-10,6,0.9587719298245614,0.8566416040100251,0.8870927318295739,2881,2380
abalone-17_vs_7-8-9-10,7,0.956140350877193,0.9307017543859649,0.9412280701754385,2932,2723
abalone-17_vs_7-8-9-10,8,0.9578947368421052,0.8627819548872181,0.9046365914786967,2742,2606
abalone-17_vs_7-8-9-10,9,0.9508771929824562,0.8941102756892231,0.9236842105263158,2501,2377
abalone-17_vs_7-8-9-10,10,0.9596491228070175,0.9055137844611528,0.9160401002506267,3321,2714
abalone-17_vs_7-8-9-10,11,0.9552631578947368,0.7477443609022556,0.9280701754385965,2509,2461
abalone-17_vs_7-8-9-10,12,0.9543859649122807,0.9090225563909774,0.9429824561403508,2618,2618
abalone-17_vs_7-8-9-10,13,0.9631578947368421,0.7243107769423559,0.8235588972431077,2681,2821
abalone-17_vs_7-8-9-10,14,0.9517543859649124,0.8610275689223058,0.8993734335839599,2556,2700
abalone-17_vs_7-8-9-10,15,0.9535087719298246,0.8636591478696742,0.9377192982456141,2778,2568
abalone-17_vs_7-8-9-10,16,0.9570175438596491,0.8671679197994988,0.9107769423558898,2888,2511
abalone-17_vs_7-8-9-10,17,0.9631578947368421,0.8627819548872181,0.9046365914786967,2824,2535
abalone-17_vs_7-8-9-10,18,0.9543859649122807,0.8244360902255639,0.9421052631578947,2570,2857
abalone-17_vs_7-8-9-10,19,0.9543859649122807,0.7234335839598998,0.800125313283208,2683,2561
abalone-17_vs_7-8-9-10,20,0.9552631578947368,0.8314536340852131,0.9037593984962407,2569,2846
abalone-17_vs_7-8-9-10,21,0.956140350877193,0.8358395989974937,0.9020050125313284,2944,2545
abalone-17_vs_7-8-9-10,22,0.9543859649122807,0.9324561403508772,0.9350877192982456,2765,2457
abalone-17_vs_7-8-9-10,23,0.9543859649122807,0.8575187969924812,0.8984962406015038,2881,2428
abalone-17_vs_7-8-9-10,24,0.9500000000000001,0.8235588972431077,0.8862155388471178,2686,2421
abalone-17_vs_7-8-9-10,25,0.956140350877193,0.7764411027568923,0.88796992481203,2694,2705
abalone-17_vs_7-8-9-10,26,0.9570175438596491,0.9055137844611528,0.9482456140350878,2907,2741
abalone-17_vs_7-8-9-10,27,0.9456140350877194,0.8540100250626567,0.8967418546365915,2625,2489
abalone-17_vs_7-8-9-10,28,0.962280701754386,0.82531328320802,0.8853383458646616,2659,2313
abalone-17_vs_7-8-9-10,29,0.9500000000000001,0.8288220551378447,0.9324561403508772,3168,2387
abalone-17_vs_7-8-9-10,30,0.9578947368421052,0.7948621553884713,0.9002506265664161,2919,2592
