Dataset,Split Num,Optimized validation AUC,Optimized test AUC,Ideal test AUC,Optimized num samples,Ideal num samples
abalone-17_vs_7-8-9-10,0,0.9578947368421052,0.8279448621553884,0.9333333333333333,2835,2436
abalone-17_vs_7-8-9-10,1,0.9649122807017544,0.7922305764411028,0.8332080200501252,2678,2789
abalone-17_vs_7-8-9-10,2,0.9771929824561403,0.7922305764411028,0.8654135338345866,2737,2699
abalone-17_vs_7-8-9-10,3,0.962280701754386,0.8645363408521304,0.9298245614035088,3229,2655
abalone-17_vs_7-8-9-10,4,0.9464912280701754,0.9002506265664161,0.9037593984962407,2550,2729
abalone-17_vs_7-8-9-10,5,0.9543859649122807,0.9081453634085214,0.9116541353383459,2553,2851
abalone-17_vs_7-8-9-10,6,0.9587719298245614,0.8235588972431077,0.8809523809523809,2877,2447
abalone-17_vs_7-8-9-10,7,0.9552631578947368,0.9307017543859649,0.9368421052631579,2805,3062
abalone-17_vs_7-8-9-10,8,0.9570175438596491,0.8261904761904763,0.9011278195488722,2680,2362
abalone-17_vs_7-8-9-10,9,0.9491228070175439,0.7878446115288221,0.9175438596491228,2740,2363
abalone-17_vs_7-8-9-10,10,0.9614035087719298,0.8402255639097743,0.9151629072681705,2766,2592
abalone-17_vs_7-8-9-10,11,0.9552631578947368,0.8209273182957393,0.9307017543859649,2713,2559
abalone-17_vs_7-8-9-10,12,0.9570175438596491,0.8715538847117795,0.9429824561403508,2676,2480
abalone-17_vs_7-8-9-10,13,0.9631578947368421,0.7565162907268171,0.8261904761904763,2998,2516
abalone-17_vs_7-8-9-10,14,0.9517543859649124,0.8566416040100251,0.8941102756892231,2568,2492
abalone-17_vs_7-8-9-10,15,0.9543859649122807,0.8314536340852131,0.9324561403508772,2945,2672
abalone-17_vs_7-8-9-10,16,0.9570175438596491,0.8018796992481204,0.9271929824561403,2948,2438
abalone-17_vs_7-8-9-10,17,0.9640350877192982,0.8270676691729323,0.8993734335839599,2601,2671
abalone-17_vs_7-8-9-10,18,0.9535087719298246,0.9037593984962407,0.9324561403508772,2637,2499
abalone-17_vs_7-8-9-10,19,0.9535087719298246,0.7234335839598998,0.8018796992481204,2491,2391
abalone-17_vs_7-8-9-10,20,0.956140350877193,0.8288220551378447,0.9368421052631579,2420,2450
abalone-17_vs_7-8-9-10,21,0.9535087719298246,0.8349624060150375,0.9055137844611528,2962,2677
abalone-17_vs_7-8-9-10,22,0.956140350877193,0.8601503759398497,0.9324561403508772,2551,2297
abalone-17_vs_7-8-9-10,23,0.956140350877193,0.8724310776942356,0.8993734335839599,2803,2528
abalone-17_vs_7-8-9-10,24,0.9500000000000001,0.8121553884711779,0.9131578947368422,2758,2467
