Dataset,Split Num,Optimized validation AUC,Optimized test AUC,Ideal test AUC,Optimized num samples,Ideal num samples
abalone-3_vs_11,0,0.9918032786885246,0.9958677685950413,1.0,-1,-1
abalone-3_vs_11,1,0.9959016393442622,1.0,1.0,-1,-1
abalone-3_vs_11,2,1.0,1.0,1.0,-1,-1
abalone-3_vs_11,3,1.0,0.9959016393442622,0.9959016393442622,-1,-1
abalone-3_vs_11,4,1.0,0.9958677685950413,0.9958677685950413,-1,-1
abalone-3_vs_11,5,1.0,0.9959016393442622,0.9959016393442622,-1,-1
abalone-3_vs_11,6,0.9959016393442622,0.9959016393442622,0.9959016393442622,-1,-1
abalone-3_vs_11,7,0.9959016393442622,0.9958677685950413,1.0,-1,-1
abalone-3_vs_11,8,0.9918032786885246,1.0,1.0,-1,-1
abalone-3_vs_11,9,0.9959016393442622,1.0,1.0,-1,-1
abalone-3_vs_11,10,1.0,1.0,1.0,-1,-1
abalone-3_vs_11,11,0.9959016393442622,1.0,1.0,-1,-1
abalone-3_vs_11,12,0.9877049180327868,0.9959016393442622,0.9959016393442622,-1,-1
abalone-3_vs_11,13,0.9918032786885246,0.9958677685950413,0.9958677685950413,-1,-1
abalone-3_vs_11,14,1.0,0.9959016393442622,0.9959016393442622,-1,-1
abalone-3_vs_11,15,0.9918032786885246,0.9958677685950413,0.9958677685950413,-1,-1
abalone-3_vs_11,16,1.0,1.0,1.0,-1,-1
abalone-3_vs_11,17,0.9959016393442622,1.0,1.0,-1,-1
abalone-3_vs_11,18,0.9959016393442622,0.9918032786885246,0.9918032786885246,-1,-1
abalone-3_vs_11,19,0.9959016393442622,0.9958677685950413,1.0,-1,-1
abalone-3_vs_11,20,0.9959016393442622,1.0,1.0,-1,-1
abalone-3_vs_11,21,1.0,1.0,1.0,-1,-1
abalone-3_vs_11,22,1.0,1.0,1.0,-1,-1
abalone-3_vs_11,23,0.9959016393442622,0.9876033057851239,1.0,-1,-1
abalone-3_vs_11,24,0.9959016393442622,1.0,1.0,-1,-1
abalone-3_vs_11,25,1.0,0.9959016393442622,0.9959016393442622,-1,-1
abalone-3_vs_11,26,1.0,0.9958677685950413,0.9958677685950413,-1,-1
abalone-3_vs_11,27,1.0,1.0,1.0,-1,-1
abalone-3_vs_11,28,0.9959016393442622,0.9917355371900827,1.0,-1,-1
abalone-3_vs_11,29,1.0,0.9959016393442622,0.9959016393442622,-1,-1
abalone-3_vs_11,30,1.0,1.0,1.0,-1,-1
abalone19,0,0.9618725868725868,0.6435386473429952,0.7060386473429952,-1,-1
abalone19,1,0.9652509652509653,0.6329106280193237,0.6367753623188406,-1,-1
abalone19,2,0.9681467181467182,0.5815217391304348,0.5815217391304348,-1,-1
abalone19,3,0.9681467181467182,0.5733091787439614,0.6377415458937198,-1,-1
abalone19,4,0.959942084942085,0.6939613526570048,0.7583937198067632,-1,-1
abalone19,5,0.9633204633204633,0.7079710144927536,0.7079710144927536,-1,-1
abalone19,6,0.9695945945945945,0.5873188405797101,0.707487922705314,-1,-1
abalone19,7,0.9642857142857143,0.8315217391304348,0.8315217391304348,-1,-1
abalone19,8,0.959942084942085,0.6958937198067633,0.7579106280193237,-1,-1
abalone19,9,0.9642857142857143,0.8237922705314009,0.8237922705314009,-1,-1
abalone19,10,0.9565637065637065,0.45314009661835747,0.5175724637681159,-1,-1
abalone19,11,0.9695945945945945,0.713768115942029,0.7171497584541062,-1,-1
abalone19,12,0.9565637065637065,0.6406400966183574,0.7089371980676329,-1,-1
abalone19,13,0.971042471042471,0.6290458937198067,0.7583937198067632,-1,-1
abalone19,14,0.9594594594594594,0.6949275362318841,0.6973429951690822,-1,-1
abalone19,15,0.9618725868725868,0.6954106280193237,0.6973429951690822,-1,-1
abalone19,16,0.9623552123552124,0.7588768115942028,0.8184782608695652,-1,-1
abalone19,17,0.9633204633204633,0.6343599033816425,0.638707729468599,-1,-1
abalone19,18,0.9671814671814671,0.7656400966183574,0.7656400966183574,-1,-1
abalone19,19,0.9652509652509653,0.638707729468599,0.638707729468599,-1,-1
abalone19,20,0.9531853281853282,0.5708937198067633,0.6367753623188406,-1,-1
abalone19,21,0.9638030888030888,0.6333937198067633,0.7559782608695652,-1,-1
abalone19,22,0.9618725868725868,0.7603260869565218,0.7651570048309179,-1,-1
abalone19,23,0.9691119691119692,0.7036231884057971,0.7685386473429952,-1,-1
abalone19,24,0.9604247104247104,0.6324275362318841,0.6973429951690822,-1,-1
abalone19,25,0.9638030888030888,0.5834541062801932,0.5873188405797101,-1,-1
abalone19,26,0.9638030888030888,0.6367753623188406,0.6978260869565218,-1,-1
abalone19,27,0.9618725868725868,0.7719202898550724,0.7719202898550724,-1,-1
abalone19,28,0.9657335907335907,0.5815217391304348,0.7070048309178745,-1,-1
abalone19,29,0.9652509652509653,0.826207729468599,0.8276570048309179,-1,-1
abalone19,30,0.9734555984555985,0.5185386473429952,0.519987922705314,-1,-1
abalone9-18,0,0.9302325581395349,0.7583815028901735,0.7786127167630059,-1,-1
abalone9-18,1,0.8866279069767442,0.6959537572254335,0.7517341040462426,-1,-1
