Dataset,Split Num,Optimized validation AUC,Optimized test AUC,Ideal test AUC,Optimized num samples,Ideal num samples
abalone-17_vs_7-8-9-10,0,0.9517543859649124,0.8610275689223058,0.9020050125313284,3204,3204
abalone-17_vs_7-8-9-10,1,0.9596491228070175,0.7939849624060151,0.8010025062656642,3934,3934
abalone-17_vs_7-8-9-10,2,0.9692982456140351,0.7269423558897243,0.7966165413533836,5203,5203
abalone-17_vs_7-8-9-10,3,0.9491228070175439,0.8575187969924812,0.8949874686716792,3095,3095
abalone-17_vs_7-8-9-10,4,0.9385964912280702,0.9081453634085214,0.9081453634085214,3075,3075
abalone-17_vs_7-8-9-10,5,0.9429824561403508,0.8636591478696742,0.9072681704260652,4001,4001
abalone-17_vs_7-8-9-10,6,0.9447368421052631,0.8531328320802005,0.8671679197994988,4609,4609
abalone-17_vs_7-8-9-10,7,0.9456140350877194,0.9307017543859649,0.9359649122807018,4214,4214
abalone-17_vs_7-8-9-10,8,0.9500000000000001,0.82531328320802,0.868922305764411,3117,3117
abalone-17_vs_7-8-9-10,9,0.9377192982456141,0.7852130325814537,0.849624060150376,3132,3132
abalone-17_vs_7-8-9-10,10,0.9500000000000001,0.8384711779448621,0.9055137844611528,3262,3262
abalone-17_vs_7-8-9-10,11,0.9447368421052631,0.8174185463659147,0.8583959899749374,4311,4311
abalone-17_vs_7-8-9-10,12,0.9464912280701754,0.9081453634085214,0.9116541353383459,3449,3449
abalone-17_vs_7-8-9-10,13,0.9535087719298246,0.6859649122807018,0.7957393483709274,5774,5774
abalone-17_vs_7-8-9-10,14,0.9403508771929824,0.8174185463659147,0.8270676691729323,4179,4179
abalone-17_vs_7-8-9-10,15,0.9412280701754385,0.8984962406015038,0.8984962406015038,3108,3108
abalone-17_vs_7-8-9-10,16,0.9526315789473685,0.8733082706766918,0.8785714285714286,3151,3151
abalone-17_vs_7-8-9-10,17,0.9535087719298246,0.8279448621553884,0.8680451127819548,3316,3316
abalone-17_vs_7-8-9-10,18,0.9473684210526316,0.8680451127819548,0.9359649122807018,3241,3241
abalone-17_vs_7-8-9-10,19,0.9473684210526316,0.7705513784461153,0.7705513784461153,3790,3790
abalone-17_vs_7-8-9-10,20,0.9464912280701754,0.7966165413533836,0.8314536340852131,3087,3087
abalone-17_vs_7-8-9-10,21,0.9447368421052631,0.7652882205513784,0.8367167919799499,5655,5655
abalone-17_vs_7-8-9-10,22,0.9464912280701754,0.8949874686716792,0.9028822055137845,3095,3095
abalone-17_vs_7-8-9-10,23,0.9491228070175439,0.8296992481203007,0.8715538847117795,5356,5356
abalone-17_vs_7-8-9-10,24,0.9412280701754385,0.8174185463659147,0.8244360902255639,3741,3741
abalone-17_vs_7-8-9-10,25,0.943859649122807,0.7781954887218044,0.8165413533834586,5157,5157
abalone-17_vs_7-8-9-10,26,0.9456140350877194,0.8706766917293233,0.906390977443609,3467,3467
abalone-17_vs_7-8-9-10,27,0.9333333333333333,0.8636591478696742,0.8636591478696742,3136,3136
abalone-17_vs_7-8-9-10,28,0.9482456140350878,0.8314536340852131,0.8610275689223058,3061,3061
abalone-17_vs_7-8-9-10,29,0.9464912280701754,0.8662907268170427,0.9020050125313284,3196,3196
abalone-17_vs_7-8-9-10,30,0.9491228070175439,0.8332080200501252,0.8706766917293233,3131,3131
abalone-20_vs_8-9-10,0,0.974630021141649,0.8274818401937047,0.8296004842615013,2645,2645
abalone-20_vs_8-9-10,1,0.9703389830508475,0.8870683579985906,0.9704016913319239,2644,2644
abalone-20_vs_8-9-10,2,0.9819915254237288,0.7140591966173361,0.7182875264270613,2605,2605
abalone-20_vs_8-9-10,3,0.9778012684989429,0.7475786924939467,0.8200665859564165,2622,2622
abalone-20_vs_8-9-10,4,0.9661016949152542,0.9503171247357294,0.9534883720930233,3365,3365
abalone-20_vs_8-9-10,5,0.9682203389830508,0.8648696264975336,0.8712121212121212,2598,2598
abalone-20_vs_8-9-10,6,0.9778012684989429,0.8200665859564165,0.8925544794188862,2654,2654
abalone-20_vs_8-9-10,7,0.958686440677966,0.877554615926709,0.8849541930937279,2834,2834
abalone-20_vs_8-9-10,8,0.9703389830508475,0.8796687808315716,0.8828400281888654,2661,2661
abalone-20_vs_8-9-10,9,0.9735169491525424,0.877554615926709,0.8807258632840029,3200,3200
abalone-20_vs_8-9-10,10,0.9640591966173361,0.9449152542372881,0.9523305084745763,2662,2662
abalone-20_vs_8-9-10,11,0.9650423728813559,0.9630021141649049,0.9630021141649049,2630,2630
abalone-20_vs_8-9-10,12,0.9735729386892177,0.8168886198547216,0.8830205811138014,2550,2550
abalone-20_vs_8-9-10,13,0.9819915254237288,0.6381254404510218,0.6412966878083156,3038,3038
abalone-20_vs_8-9-10,14,0.9756871035940804,0.8264225181598064,0.8296004842615013,2614,2614
abalone-20_vs_8-9-10,15,0.9682875264270613,0.8703087167070218,0.9459745762711864,3246,3246
abalone-20_vs_8-9-10,16,0.9766949152542374,0.7921071176885129,0.7942212825933755,2759,2759
abalone-20_vs_8-9-10,17,0.9672304439746301,0.7496973365617433,0.8221852300242132,2737,2737
abalone-20_vs_8-9-10,18,0.978813559322034,0.8680408738548274,0.87015503875969,2664,2664
abalone-20_vs_8-9-10,19,0.9672304439746301,0.8893765133171913,0.8946731234866828,2842,2842
abalone-20_vs_8-9-10,20,0.9630021141649049,0.8190072639225182,0.8904358353510896,2583,2583
abalone-20_vs_8-9-10,21,0.9651162790697674,0.7507566585956417,0.825363196125908,2730,2730
abalone-20_vs_8-9-10,22,0.9682875264270613,0.7507566585956417,0.7539346246973365,3468,3468
abalone-20_vs_8-9-10,23,0.9766949152542374,0.8005637773079634,0.8838971106412967,2681,2681
abalone-20_vs_8-9-10,24,0.9735169491525424,0.9566596194503172,0.9640591966173361,2862,2862
abalone-20_vs_8-9-10,25,0.9766949152542374,0.7119450317124736,0.8026779422128258,2616,2616
abalone-20_vs_8-9-10,26,0.9766949152542374,0.8733262861169838,0.877554615926709,3135,3135
abalone-20_vs_8-9-10,27,0.9724576271186441,0.8648696264975336,0.9492600422832981,2796,2796
abalone-20_vs_8-9-10,28,0.978813559322034,0.8817829457364342,0.8849541930937279,2663,2663
abalone-20_vs_8-9-10,29,0.9692796610169492,0.8733262861169838,0.9619450317124736,3629,3629
abalone-20_vs_8-9-10,30,0.9619450317124736,0.9576271186440678,0.961864406779661,2655,2655
abalone-21_vs_8,0,0.9753521126760563,0.7734741784037559,0.9471830985915494,726,726
abalone-21_vs_8,1,0.9894366197183099,0.7910798122065726,0.8016431924882628,745,745
abalone-21_vs_8,2,0.9647887323943661,0.943661971830986,0.9542253521126761,741,741
abalone-21_vs_8,3,0.9788732394366197,0.9612676056338028,0.9647887323943661,691,691
abalone-21_vs_8,4,0.9507042253521127,0.9471830985915494,0.9542253521126761,755,755
abalone-21_vs_8,5,0.9718309859154929,0.9366197183098591,0.9401408450704226,704,704
abalone-21_vs_8,6,0.9577464788732395,0.926056338028169,0.9295774647887324,708,708
abalone-21_vs_8,7,0.9964788732394366,0.8051643192488263,0.8051643192488263,667,667
abalone-21_vs_8,8,0.9929577464788732,0.812206572769953,0.812206572769953,667,667
abalone-21_vs_8,9,0.9612676056338028,0.9330985915492958,0.9577464788732395,712,712
abalone-21_vs_8,10,0.9683098591549295,0.9542253521126761,0.9683098591549295,755,755
abalone-21_vs_8,11,0.9718309859154929,0.9366197183098591,0.9401408450704226,734,734
abalone-21_vs_8,12,0.9683098591549295,0.9471830985915494,0.9577464788732395,758,758
abalone-21_vs_8,13,0.9753521126760563,0.943661971830986,0.9577464788732395,685,685
abalone-21_vs_8,14,0.9718309859154929,0.7805164319248825,0.7875586854460094,696,696
abalone-21_vs_8,15,0.9823943661971831,0.8016431924882628,0.9683098591549295,723,723
abalone-21_vs_8,16,0.9647887323943661,0.943661971830986,0.9542253521126761,743,743
abalone-21_vs_8,17,0.9859154929577465,0.8016431924882628,0.8051643192488263,752,752
abalone-21_vs_8,18,0.9823943661971831,0.7946009389671361,0.7981220657276995,667,667
abalone-21_vs_8,19,0.9718309859154929,0.943661971830986,0.943661971830986,706,706
abalone-21_vs_8,20,0.9753521126760563,0.9507042253521127,0.9542253521126761,742,742
abalone-21_vs_8,21,0.9823943661971831,0.8051643192488263,0.8157276995305164,711,711
abalone-21_vs_8,22,0.9788732394366197,0.8051643192488263,0.812206572769953,731,731
abalone-21_vs_8,23,0.9788732394366197,0.7946009389671361,0.8016431924882628,665,665
abalone-21_vs_8,24,0.9542253521126761,0.9401408450704226,0.9507042253521127,708,708
abalone-21_vs_8,25,0.9929577464788732,0.6384976525821596,0.6490610328638498,693,693
abalone-21_vs_8,26,0.9788732394366197,0.7946009389671361,0.812206572769953,717,717
abalone-21_vs_8,27,0.9683098591549295,0.9577464788732395,0.9577464788732395,737,737
abalone-21_vs_8,28,0.9718309859154929,0.7734741784037559,0.784037558685446,703,703
abalone-21_vs_8,29,0.9647887323943661,0.9401408450704226,0.9507042253521127,735,735
abalone-21_vs_8,30,0.9612676056338028,0.784037558685446,0.9471830985915494,713,713
abalone-3_vs_11,0,0.9918032786885246,0.9958677685950413,1.0,-1,-1
abalone-3_vs_11,1,0.9959016393442622,1.0,1.0,-1,-1
abalone-3_vs_11,2,1.0,1.0,1.0,-1,-1
